country_code,country,year,sdg_index_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
LUX,Luxembourg,2019,77.3,100,59.6,96.7,99.4,76.6,81.6,56.5,85.9,88.7,84,97.6,39.5,44.8,0,67.8,90.7,67.6
MDG,Madagascar,2019,49.9,3.7,52.9,35.2,54.2,67,44.5,35.9,65.9,8.8,40.2,51.8,96.7,99.3,66,42.7,40.6,42.3
MWI,Malawi,2019,55.4,0.9,61.5,49.4,50.8,70.5,52.2,41,66.5,17.4,58.5,59.8,97.9,99.6,0,60.7,52.9,46.6
MYS,Malaysia,2019,69.2,98.9,49.2,79.4,89.2,56.8,76.3,68.4,79,77.4,47.4,84.4,72.1,76.9,66.2,35.4,63.2,56.9
MDV,Maldives,2019,70.4,100,44.5,87,95.7,38.1,73.4,64.1,72.8,46.4,92.7,80.2,74.7,90.2,58,53,67.8,57.5
MLI,Mali,2019,56.5,42.5,61.9,41.4,12.4,52.7,60.8,33.8,74.6,18.4,68.9,57.6,94.5,99,0,85.2,54.2,46.5
MLT,Malta,2019,75.1,99.8,66.3,92.4,98.4,63.4,48.7,72.1,86.6,71.5,86.6,88.7,53.6,79.2,69.4,82.7,67.7,48.9
MRT,Mauritania,2019,56.2,74,43.2,52.1,39.4,38.5,58,37.3,51.9,21.2,81.8,45.1,91.4,97.3,71.6,51.2,51,50.4
MUS,Mauritius,2019,68.6,98.1,71.4,78.8,91.7,52.1,71.1,70.4,73.8,49,65.3,89.9,75.2,91.3,48.3,27.4,63.8,47.9
MEX,Mexico,2019,69.1,87.4,61.5,78,96.1,79.2,70.7,68.6,68.9,54.1,37.3,82.9,79.6,85.9,62.5,55.6,47.7,59.1
